command,syntax
wrr-queue cos-map,"['wrr-queue cos-map queue-id cos0. cos7', 'no wrr-queue cos-map [queue-id]']"
wrr-queue bandwidth,"['wrr-queue bandwidth weight1 weight2. weighting', 'no wrr-queue bandwidth']"
priority-queue out num-of-queues,"['priority-queue out num-of-queues number-of-queues', 'no priority-queue out num-of-queues']"
traffic-shape,"['traffic-shape committed-rate [committed-burst]', 'no traffic-shape']"
traffic-shape queue,"['traffic-shape queue queue-id committed-rate [committed-burst]', 'no traffic-shape queue queue-id']"
qos wrr-queue wrtd,"['qos wrr-queue wrtd', 'no qos wrr-queue wrtd']"
show qos wrr-queue wrtd,['show qos wrr-queue wrtd']
show qos interface,['show qos interface [buffers | queueing | policers | shapers] [interface-id]']
qos map policed-dscp,"['qos map policed-dscp [violation] dscp-list to dscp-mark-down', 'no qos map policed-dscp [violation] [dscp-list]']"
qos map dscp-queue,"['qos map dscp-queue dscp-list to queue-id', 'no qos map dscp-queue [dscp-list]']"
qos trust (Global),"['qos trust {cos | dscp| cos-dscp}', 'no qos trust']"
qos trust (Interface),"['qos trust', 'no qos trust']"
qos cos,"['qos cos default-cos', 'no qos cos']"
qos dscp-mutation,"['qos dscp-mutation', 'no qos dscp-mutation']"
show qos map,['show qos map [dscp-queue | dscp-dp| dscp-mutation | policed-dscp | policed-cos]']
clear qos statistics,['clear qos statistics']
qos statistics policer,"['qos statistics policer policy-map-name class-map-name', 'no qos statistics policer policy-map-name class-map-name']"
qos statistics aggregate-policer,"['qos statistics aggregate-policer aggregate-policer-name', 'no qos statistics aggregate-policer aggregate-policer-name']"
clear queue statistics,['clear queue statistics [interface-id]']
show queue statistics,['show queue statistics [interface-id] [detailed]']
show qos statistics,['show qos statistics']
radius-server host,"['radius-server host {ip-address | hostname} [auth-port auth-port-number] [acct-port acct-port-number] [timeout timeout] [retransmit retries] [deadtime deadtime] [key key-string] [priority priority] [usage {login | dot1.x | all}]', 'encrypted radius-server host {ip-address | hostname} [auth-port auth-port-number] [acct-port acct-port-number] [timeout timeout] [retransmit retries] [deadtime deadtime] [key encrypted-key-string] [priority priority] [usage {login | dot1.x | all}]', 'no radius-server host {ip-address | hostname}']"
radius-server key,"['radius-server key [key-string]', 'encrypted radius-server key [encrypted-key-string]', 'no radius-server key']"
radius-server retransmit,"['radius-server retransmit retries', 'no radius-server retransmit']"
radius-server host source-interface,"['radius-server host source-interface interface-id', 'no radius-server host source-interface']"
radius-server host source-interface-ipv6,"['radius-server host source-interface-ipv6 interface-id', 'no radius-server host source-interface-ipv6']"
radius-server timeout,"['radius-server timeout timeout-seconds', 'no radius-server timeout']"
radius-server deadtime,"['radius-server deadtime deadtime', 'no radius-server deadtime']"
show radius-servers,['show radius-servers']
show radius-servers key,['show radius-servers key']
allowed-time-range,"['allowed-time-range time-range-name', 'no allowed-time-range']"
clear radius server accounting,['clear radius server accounting']
clear radius server rejected users,['clear radius server rejected users']
clear radius server statistics,['clear radius server statistics [ip-address]']
clear radius server unknown nas,['clear radius server unknown nas']
privilege-level,"['privilege-level level', 'no privilege-level']"
radius server accounting-port,"['radius server accounting-port udp-port', 'no radius server accounting-port']"
radius server authentication-port,"['radius server authentication-port udp-port', 'no radius server authentication-port']"
radius server enable,"['radius server enable', 'no radius server enable']"
radius server group,"['radius server group group-name', 'no radius server group [group-name]']"
radius server nas secret,"['radius server nas secret key key {default | ip-address}', 'radius server nas secret ip-address', 'encrypted radius server nas secret key encrypted-key {default | ip-address}', 'no radius server nas secret [default | ip-address]']"
radius server traps accounting,"['radius server traps accounting', 'no radius server traps accounting']"
radius server traps authentication success,"['radius server traps authentication success', 'no radius server traps authentication success']"
radius server user,"['radius server user username user-name group group-name password unencrypted-password', 'encrypted radius server user username user-name group group-name passwordencrypted-password', 'no radius server user [username user-name | group group-name]']"
show radius server accounting,['show radius server accounting [username user-name]']
show radius server configuration,['show radius server configuration']
show radius server group,['show radius server group [group-name]']
show radius server rejected users,['show radius server rejected users [username user-name]']
show radius server statistics,['show radius server statistics [ip-address]']
show radius server nas secret,['show radius server nas secret [default | ip-address]']
show radius server user,['show radius server user [username user-name] | [group group-name]']
show radius server unknown nas,['show radius server unknown nas']
vlan,"['vlan {id vlan-id | name vlan-name}', 'no vlan']"
clear storm-control counters,['clear storm-control counters [broadcast | multicast | unicast] [interface interface-id]']
rate-limit (Ethernet),"['rate-limit committed-rate-kbps [burst committed-burst-bytes]', 'no rate-limit']"
rate-limit vlan,"['rate-limit vlan vlan-id committed-rate committed-burst-bytes', 'no rate-limit vlan vlan-id']"
storm-control,"['storm-control broadcast {level level | kbps kbps} [trap] [shutdown]', 'no storm-control broadcast', 'storm-control multicast [registered | unregistered] {level level | kbps kbps} [trap] [shutdown]', 'no storm-control multicast', 'storm-control unicast {level level | kbps kbps} [trap] [shutdown]', 'no storm-control unicast', 'no storm-control']"
show rate-limit interface,['show rate-limit interface [interface-id]']
show rate-limit vlan,['show rate-limit vlan [vlan-id]']
show storm-control interface,['show storm-control interface [interface-id]']
clear rip statistics,['clear rip statistics']
default-information originate,"['default-information originate', 'no default-information originate']"
default-metric,"['default-metric [metric-value]', 'no default-metric']"
ip rip authentication key-chain,"['ip rip authentication key-chain name-of-chain', 'no ip rip authentication key-chain']"
ip rip authentication mode,"['ip rip authentication mode {text | md5}', 'no ip rip authentication mode']"
ip rip authentication-key,"['ip rip authentication-key password', 'no ip rip authentication-key']"
ip rip default-information originate,"['ip rip default-information originate {disable | metric}', 'no ip rip default-information originate']"
ip rip distribute-list in,"['ip rip distribute-list access access-list-name in', 'no ip rip distribute-list in']"
ip rip distribute-list out,"['ip rip distribute-list access access-list-name out', 'no ip rip distribute-list out']"
ip rip offset,"['ip rip offset offset', 'no ip rip offset']"
ip rip passive-interface,"['ip rip passive-interface', 'no ip rip passive-interface']"
ip rip distribute-list in,"['ip rip distribute-list access access-list-name in', 'no ip rip distribute-list in']"
ip rip distribute-list out,"['ip rip distribute-list access access-list-name out', 'no ip rip distribute-list out']"
ip rip offset,"['ip rip offset offset', 'no ip rip offset']"
ip rip passive-interface,"['ip rip passive-interface', 'no ip rip passive-interface']"
ip rip shutdown,"['ip rip shutdown', 'no ip rip shutdown']"
network,"['network ip-address [shutdown]', 'no network ip-address']"
passive-interface (RIP),"['passive-interface', 'no passive-interface']"
redistribute (RIP),"['redistribute protocol [metric {metric-value | transparent}]', 'no redistribute protocol']"
router rip,"['router rip', 'no router rip']"
show ip rip database,['show ip rip database [all | brief | ip-address]']
show ip rip peers,['show ip rip peers']
shutdown,"['shutdown', 'no shutdown']"
rmon alarm,"['rmon alarm index mib-object-id interval rising-threshold falling-threshold rising-event falling-event [type {absolute | delta}] [startup {rising | rising-falling | falling}] [owner name]', 'no rmon alarm index']"
show rmon alarm-table,['show rmon alarm-table']
show rmon alarm,['show rmon alarm number']
rmon event,"['rmon event index {none | log | trap | log-trap} [community text] [description text] [owner name]', 'no rmon event index']"
show rmon events,['show rmon events']
show rmon log,['show rmon log [event]']
rmon table-size,"['rmon table-size {history entries | log entries}', 'no rmon table-size {history | log}']"
show rmon statistics,['show rmon statistics {interface-id}']
rmon collection stats,"['rmon collection stats index [owner ownername] [buckets bucket-number] [interval seconds]', 'no rmon collection stats index']"
show rmon collection stats,['show rmon collection stats [interface-id]']
show rmon history,['show rmon history index {throughput | errors | other} [period seconds]']
show system resources,['show system resources']
set router hardware-routing active,['set router hardware-routing active']
show router hardware-routing status,['show router hardware-routing status']
system resources,"['system resources [policy-ip-routes max-number] [policy-ipv6-routes max-number] [vlan-mapping-entries max-number]', 'no system resources']"
match ip address (Policy Routing),"['match ip address access-list extended-access-list-name', 'no match ip address access-list']"
match ipv6 address (Policy Routing),"['match ipv6 address access-list extended-access-list-name', 'no match ipv6 address access-list']"
route-map (Policy Routing),"['route-map map-tag [sequence-number]', 'no route-map map-tag [sequence-number]']"
set ip next-hop,"['set ip next-hop next-hop', 'no set ip next-hop']"
set ipv6 next-hop,"['set ipv6 next-hop next-hop', 'no set ipv6 next-hop']"
show route-map,['show route-map [map-name]']
crypto key generate dsa,['crypto key generate dsa']
crypto key generate rsa,['crypto key generate rsa']
crypto key import,"['crypto key import {dsa| rsa}', 'encrypted crypto key import {dsa| rsa}', 'no crypto key {dsa| rsa}']"
show crypto key,['show crypto key [mypubkey] [dsa| rsa]']
crypto certificate generate,['crypto certificate number generate [key-generate [length] [cn common- name] [ou organization-unit] [or organization] [loc location] [st state] [cu country] [duration days]']
crypto certificate request,['crypto certificate number request [cn common- name] [ou organization-unit] [or organization] [loc location] [st state] [cu country]']
crypto certificate import,"['crypto certificate number import', 'encrypted crypto certificate number import', 'no crypto certificate number']"
show crypto certificate,['show crypto certificate [mycertificate] [number]']
macro auto (Global),"['macro auto {enabled | disabled | controlled}', 'no macro auto']"
macro auto built-in parameters,"['macro auto built-in parameters smartport-type [parameter-name value [parameter-name value [parameter-name value]', 'no macro auto built-in parameters smartport-type']"
macro auto persistent,"['macro auto persistent', 'no macro auto persistent']"
macro auto processing cdp,"['macro auto processing cdp', 'no macro auto processing cdp']"
macro auto processing lldp,"['macro auto processing lldp', 'no macro auto processing lldp']"
macro auto processing type,"['macro auto processing type smartport-type {enabled | disabled}', 'no macro auto processing type smartport-type']"
macro auto resume,['macro auto resume']
macro auto smartport (Interface),"['macro auto smartport', 'no macro auto smartport']"
macro auto smartport type,"['macro auto smartport type smartport-type [parameter-name value [parameter-name value [parameter-name value]', 'no macro auto smartport type']"
macro auto trunk refresh,['macro auto trunk refresh [smartport-type] [interface-id]']
macro auto user smartport macro,"['macro auto user smartport macro smartport-type user-defined-macro-name [parameter-name value [parameter-name value [parameter-name value]', 'no macro auto user smartport macro smartport-type']"
show macro auto ports,['show macro auto ports [interface-id | detailed]']
show macro auto processing,['show macro auto processing']
show macro auto smart-macros,['show macro auto smart-macros [smartport-type]']
smartport storm-control,"['smartport storm-control broadcast {level level | kbps kbps} [trap] [shutdown]', 'no smartport storm-control broadcast', 'smartport storm-control multicast [registred | unregistred] {level level | kbps kbps} [trap] [shutdown]', 'no smartport storm-control multicast', 'smartport storm-control unicast {level level | kbps kbps} [trap] [shutdown]', 'no smartport storm-control unicast', 'no smartport storm-control']"
sflow receiver,"['sflow receiver index {ipv4-address | ipv6-address | hostname} [port port] [max-datagram-size bytes]', 'no sflow receiver index']"
sflow flow-sampling,"['sflow flow-sampling rate receiver-index [max-header-size bytes]', 'no sflow flow-sampling']"
sflow counters-sampling,"['sflow counters-sampling interval receiver-index', 'no sflow counters-sampling']"
clear sflow statistics,['clear sflow statistics [interface-id]']
show sflow configuration,['show sflow configuration [interface-id]']
sflow receiver source-interface,"['sflow receiver source-interface interface-id', 'no sflow receiver source-interface']"
