command,syntax_products
ssd session read,"[('ssd session read {encrypted | plaintext | exclude}', 'cbs_250, cbs_350, cat_1300'), ('no ssd session read', 'cbs_250, cbs_350, cat_1300')]"
stack configuration,"[('stack configuration {[links ports-list] [unit-id {unit-id | auto}] }', 'cbs_350, cat_1300'), ('no stack configuration', 'cbs_350, cat_1300')]"
storm-control,"[('storm-control broadcast {level level | kbps kbps} [trap] [shutdown]', 'cbs_250, cbs_350, cat_1300'), ('no storm-control broadcast', 'cbs_250, cbs_350, cat_1300'), ('storm-control multicast [registered | unregistered] {level level | kbps kbps} [trap] [shutdown]', 'cbs_250, cbs_350, cat_1300'), ('no storm-control multicast', 'cbs_250, cbs_350, cat_1300'), ('storm-control unicast {level level | kbps kbps} [trap] [shutdown]', 'cbs_250, cbs_350, cat_1300'), ('no storm-control unicast', 'cbs_250, cbs_350, cat_1300'), ('no storm-control', 'cbs_250, cbs_350, cat_1300')]"
storm-control action,"[('storm-control action {drop | shutdown}', 'cbs_220'), ('no storm-control action', 'cbs_220')]"
storm-control broadcast,"[('storm-control broadcast', 'cbs_220'), ('no storm-control broadcast', 'cbs_220')]"
storm-control broadcast level,"[('storm-control broadcast level {pps | kbps}', 'cbs_220'), ('no storm-control broadcast level', 'cbs_220')]"
storm-control enable,"[('storm-control enable', 'cbs_220'), ('no storm-control enable', 'cbs_220')]"
storm-control unknown-multicast,"[('storm-control unknown-multicast', 'cbs_220'), ('no storm-control unknown-multicast', 'cbs_220')]"
storm-control unknown-multicast level,"[('storm-control unknown-multicast level {pps | kbps}', 'cbs_220'), ('no storm-control unknown-multicast level', 'cbs_220')]"
storm-control unknown-unicast,"[('storm-control unknown-unicast', 'cbs_220'), ('no storm-control unknown-unicast', 'cbs_220')]"
storm-control unknown-unicast level,"[('storm-control unknown-unicast level {pps | kbps}', 'cbs_220'), ('no storm-control unknown-unicast level', 'cbs_220')]"
surveillance-vlan aging-timeout,"[('surveillance-vlan aging-timeout minutes', 'cat_1300'), ('no surveillance-vlan aging-timeout', 'cat_1300'), ('minutes—The amount of time after surveillance traffic stops on the interface before the interface is removed from the ASV. (Range: 1-43200)', 'cat_1300')]"
surveillance-vlan cos,"[('surveillance-vlan cos cos', 'cat_1300'), ('no surveillance-vlan cos', 'cat_1300')]"
surveillance-vlan vlan-id,"[('surveillance-vlan vlan-id vlan-id', 'cat_1300'), ('no surveillance-vlan vlan-id', 'cat_1300')]"
switchport,"[('switchport', 'cbs_250, cbs_350, cat_1300'), ('no switchport', 'cbs_250, cbs_350, cat_1300')]"
switchport access multicast-tv vlan,"[('switchport access multicast-tv vlan vlan-id', 'cbs_250, cbs_350, cat_1300'), ('no switchport access multicast-tv vlan', 'cbs_250, cbs_350, cat_1300')]"
switchport access vlan,"[('switchport access vlan vlan-id', 'cbs_220'), ('no switchport access vlan', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('switchport access vlan {vlan-id | none}', 'cbs_250, cbs_350, cat_1300')]"
switchport customer vlan,"[('switchport customer vlan vlan-id', 'cbs_250, cbs_350, cat_1300'), ('no switchport customer vlan', 'cbs_250, cbs_350, cat_1300')]"
switchport default-vlan tagged,"[('switchport default-vlan tagged', 'cbs_220'), ('no switchport default-vlan tagged', 'cbs_220')]"
switchport dot1q-tunnel vlan,"[('switchport dot1q-tunnel vlan vlan-id', 'cbs_220'), ('no switchport dot1q-tunnel vlan', 'cbs_220')]"
switchport forbidden default-vlan,"[('switchport forbidden default-vlan', 'cbs_220'), ('no switchport forbidden default-vlan', 'cbs_220')]"
switchport general acceptable-frame-type,"[('switchport general acceptable-frame-type {tagged-only | untagged-only | all}', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no switchport general acceptable-frame-type', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
switchport general allowed vlan,"[('switchport general allowed vlan {add vlan-list [tagged | untagged] | remove vlan-list }', 'cbs_220'), ('switchport general allowed vlan add vlan-list [tagged | untagged]', 'cbs_250, cbs_350, cat_1300'), ('switchport general allowed vlan remove vlan-list', 'cbs_250, cbs_350, cat_1300'), ('no switchport general allowed vlan', 'cbs_250, cbs_350, cat_1300')]"
switchport general forbidden vlan,"[('switchport general forbidden vlan {add vlan-list | remove vlan-list}', 'cbs_250, cbs_350, cat_1300'), ('no switchport general forbidden vlan', 'cbs_250, cbs_350, cat_1300')]"
switchport general ingress-filtering disable,"[('switchport general ingress-filtering disable', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no switchport general ingress-filtering disable', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
switchport general map macs-group vlan,"[('switchport general map macs-group group vlan vlan-id', 'cbs_250, cbs_350, cat_1300'), ('no switchport general map macs-group group', 'cbs_250, cbs_350, cat_1300')]"
switchport general map protocols-group vlan,"[('switchport general map protocols-group group vlan vlan-id', 'cbs_250, cbs_350, cat_1300'), ('no switchport general map protocols-group group', 'cbs_250, cbs_350, cat_1300')]"
switchport general map subnets-group vlan,"[('switchport general map subnets-group group vlan vlan-id', 'cbs_250, cbs_350, cat_1300'), ('no switchport general map subnets-group group', 'cbs_250, cbs_350, cat_1300')]"
switchport general pvid,"[('switchport general pvid vlan-id', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no switchport general pvid', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
switchport mode,"[('switchport mode {access | trunk | general | dot1q-tunnel}', 'cbs_220'), ('no switchport mode', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('switchport mode access | trunk | general | private-vlan {promiscuous | host} | customer | vlan-mapping {tunnel | one-to-one }', 'cbs_250, cbs_350, cat_1300')]"
switchport nni ethtype,"[('switchport nni ethtype dot1q | dot1ad | 9100 | 9200', 'cbs_250, cbs_350, cat_1300'), ('no switchport nni ethtype', 'cbs_250, cbs_350, cat_1300')]"
switchport port-security,"[('switchport port-security', 'cbs_220'), ('no switchport port-security', 'cbs_220')]"
switchport port-security mode maximum,"[('switchport port-security mode {classic | dynamic} maximum max-addr action { discard | {discard-snmp-log trap-freq seconds} | {discard-snmp-log-shutdown trap-freq seconds} | forward}', 'cbs_220'), ('no switchport port-security maximum', 'cbs_220')]"
switchport private-vlan host-association,"[('switchport private-vlan host-association primary-vlan-id secondary-vlan-id', 'cbs_250, cbs_350, cat_1300'), ('no switchport private-vlan host-association', 'cbs_250, cbs_350, cat_1300')]"
switchport private-vlan mapping,"[('switchport private-vlan mapping primary-vlan-id [add | remove] secondary-vlan-list', 'cbs_250, cbs_350, cat_1300'), ('no switchport private-vlan mapping', 'cbs_250, cbs_350, cat_1300')]"
switchport protected,"[('switchport protected', 'cbs_220'), ('no switchport protected', 'cbs_220')]"
switchport protected-port,"[('switchport protected-port', 'cbs_250, cbs_350, cat_1300'), ('no switchport protected-port', 'cbs_250, cbs_350, cat_1300')]"
switchport trunk allowed vlan,"[('switchport trunk allowed vlan {add vlan-list | remove vlan-list | all}', 'cbs_220'), ('switchport trunk allowed vlan {all | none | vlan-list | add vlan-list | remove vlan-list | except vlan-list}', 'cbs_250, cbs_350, cat_1300'), ('no switchport trunk allowed vlan', 'cbs_250, cbs_350, cat_1300')]"
switchport trunk native vlan,"[('switchport trunk native vlan vlan-id', 'cbs_220'), ('no switchport trunk native vlan', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('switchport trunk native vlan {vlan-id | none}', 'cbs_250, cbs_350, cat_1300')]"
switchport vlan-mapping one-to-one,"[('switchport vlan-mapping one-to-one vlan-id translated-vlan-id', 'cbs_250, cbs_350, cat_1300'), ('no switchport vlan-mapping one-to-one [vlan-id]', 'cbs_250, cbs_350, cat_1300')]"
switchport vlan-mapping tunnel,"[('switchport vlan-mapping tunnel {vlan-list | default} {outer-vlan-id | drop}', 'cbs_250, cbs_350, cat_1300'), ('no switchport vlan-mapping tunnel [vlan-list | default]', 'cbs_250, cbs_350, cat_1300')]"
switchport vlan-mapping tunnel l2protocol cos,"[('switchport vlan-mapping tunnel l2protocol cos cos-value', 'cbs_250, cbs_350, cat_1300'), ('no switchport vlan-mapping tunnel l2protocol cos', 'cbs_250, cbs_350, cat_1300')]"
switchport vlan-mapping tunnel l2protocol cos interface,"[('switchport vlan-mapping tunnel l2protocol cos interface cos-value', 'cbs_250, cbs_350, cat_1300'), ('vlan-mapping tunnel l2protocol cos interface', 'cbs_250, cbs_350, cat_1300')]"
switchport vlan-mapping tunnel l2protocol drop-threshold,"[('switchport vlan-mapping tunnel l2protocol drop-threshold [disable | enable committed-rate-kbps]', 'cbs_250, cbs_350, cat_1300'), ('no switchport vlan-mapping tunnel l2protocol drop-threshold', 'cbs_250, cbs_350, cat_1300')]"
switchport vlan-mapping tunnel l2protocol forward,"[('switchport vlan-mapping tunnel l2protocol forward [protocol]', 'cbs_250, cbs_350, cat_1300'), ('no switchport vlan-mapping tunnel l2protocol forward [protocol]', 'cbs_250, cbs_350, cat_1300')]"
switchport vlan-mapping tunnel l2protocol vlan,"[('switchport vlan-mapping tunnel l2protocol vlan vlan-id', 'cbs_250, cbs_350, cat_1300'), ('no switchport vlan-mapping tunnel l2protocol vlan', 'cbs_250, cbs_350, cat_1300')]"
system light,"[('system light [unit unit-id] [duration seconds]', 'cbs_250, cbs_350, cat_1300'), ('system light stop', 'cbs_250, cbs_350, cat_1300')]"
system recovery,"[('system recovery', 'cbs_250, cbs_350, cat_1300'), ('no system recovery', 'cbs_250, cbs_350, cat_1300')]"
system reset-button disable,"[('system reset-button disable', 'cat_1300'), ('no system reset-button disable', 'cat_1300')]"
system resources,"[('system resources [policy-ip-routes max-number] [policy-ipv6-routes max-number] [vlan-mapping-entries max-number]', 'cbs_250, cbs_350, cat_1300'), ('no system resources', 'cbs_250, cbs_350, cat_1300')]"
tacacs-server host,"[('tacacs-server host {ip-address | hostname} [key key-string] [port port-number] [priority priority] [timeout timeout]', 'cbs_220'), ('no tacacs-server host {ip-address | hostname}', 'cbs_220, cbs_350, cat_1300'), ('tacacs-server host {ip-address | hostname} [single-connection] [port port-number] [timeout timeout] [key key-string] [priority priority]', 'cbs_350, cat_1300'), ('encrypted tacacs-server host {ip-address | hostname} [single-connection] [port port-number] [timeout timeout] [key encrypted-key-string] [priority priority]', 'cbs_350, cat_1300')]"
tacacs-server host source-interface,"[('tacacs-server host source-interface interface-id', 'cbs_350, cat_1300'), ('no tacacs-server host source-interface', 'cbs_350, cat_1300')]"
tacacs-server host source-interface-ipv6,"[('tacacs-server host source-interface-ipv6 interface-id', 'cbs_350, cat_1300'), ('no tacacs-server host source-interface-ipv6', 'cbs_350, cat_1300')]"
tacacs-server key,"[('tacacs-server key key-string', 'cbs_350, cat_1300'), ('encrypted tacacs-server key encrypted-key-string', 'cbs_350, cat_1300'), ('no tacacs-server key', 'cbs_350, cat_1300')]"
tacacs-server timeout,"[('tacacs-server timeout timeout', 'cbs_350, cat_1300'), ('no tacacs-server timeout', 'cbs_350, cat_1300')]"
terminal datadump,"[('terminal datadump', 'cbs_250, cbs_350, cat_1300'), ('terminal no datadump', 'cbs_250, cbs_350, cat_1300')]"
terminal history,"[('terminal history', 'cbs_250, cbs_350, cat_1300'), ('terminal no history', 'cbs_250, cbs_350, cat_1300')]"
terminal history size,"[('terminal history size number-of-commands', 'cbs_250, cbs_350, cat_1300'), ('terminal no history size', 'cbs_250, cbs_350, cat_1300')]"
terminal length,"[('terminal length length', 'cbs_220'), ('no terminal length', 'cbs_220')]"
terminal prompt,"[('terminal prompt', 'cbs_250, cbs_350, cat_1300'), ('terminal no prompt', 'cbs_250, cbs_350, cat_1300')]"
terminal width,"[('terminal width number-of-characters', 'cbs_250, cbs_350, cat_1300'), ('terminal no width', 'cbs_250, cbs_350, cat_1300')]"
time-range,"[('time-range NAME', 'cbs_220'), ('no time-range NAME', 'cbs_220'), ('time-range time-range-name', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300'), ('no time-range time-range-name', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300')]"
time-server,"[('time-server ip-address [ip-address2 . ip-address8]', 'cbs_350, cat_1300'), ('no time-server', 'cbs_350, cat_1300')]"
traceroute,"[('traceroute {ipv4-address | hostname} [max-hop hop-count]', 'cbs_220'), ('traceroute ip {ipv4-address | hostname} [size packet_size] [ttl max-ttl] [count packet_count] [timeout time_out] [source ip-address]', 'cbs_250, cbs_350, cat_1300'), ('traceroute ipv6 {ipv6-address | hostname} [size packet_size] [ttl max-ttl] [count packet_count] [timeout time_out] [source ip-address]', 'cbs_250, cbs_350, cat_1300')]"
traffic-shape,"[('traffic-shape burst [queue] committed-burst', 'cbs_220'), ('no traffic-shape', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('traffic-shape committed-rate [committed-burst]', 'cbs_250, cbs_350, cat_1300')]"
traffic-shape queue,"[('traffic-shape queue queue-id committed-rate', 'cbs_220'), ('no traffic-shape queue queue-id', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('traffic-shape queue queue-id committed-rate [committed-burst]', 'cbs_250, cbs_350, cat_1300')]"
trust,"[('trust', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no trust', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
trust-shape (Interface),"[('traffic-shape committed-rate', 'cbs_220'), ('no traffic-shape', 'cbs_220')]"
trusted-port (IPv6 Source Guard),"[('trusted-port', 'cbs_350, cat_1300'), ('no trusted-port', 'cbs_350, cat_1300')]"
tunnel destination,"[('tunnel destination {host-name | ip-address}', 'cbs_250, cbs_350, cat_1300'), ('no tunnel destination', 'cbs_250, cbs_350, cat_1300')]"
tunnel isatap robustness,"[('tunnel isatap robustness number', 'cbs_250, cbs_350, cat_1300'), ('no tunnel isatap robustness', 'cbs_250, cbs_350, cat_1300')]"
tunnel isatap solicitation-interval,"[('tunnel isatap solicitation-interval seconds', 'cbs_250, cbs_350, cat_1300'), ('no tunnel isatap solicitation-interval', 'cbs_250, cbs_350, cat_1300')]"
udld,"[('udld aggressive | normal', 'cbs_350, cat_1300'), ('no udld', 'cbs_350, cat_1300')]"
udld message time,"[('udld message time seconds', 'cbs_350, cat_1300'), ('no udld message time', 'cbs_350, cat_1300')]"
udld port,"[('udld port [aggressive | normal | disable]', 'cbs_350, cat_1300'), ('no udld port', 'cbs_350, cat_1300')]"
user-key,"[('user-key username {rsa | dsa}', 'cbs_250, cbs_350, cat_1300'), ('no user-key username', 'cbs_250, cbs_350, cat_1300')]"
username,"[('username USERNAME [privilege (1|15|admin|user)] algorithm-type hash-method secret unencrypted-password', 'cbs_220'), ('username USERNAME [privilege {1 | 15 | admin | user}] {secret 8 {Encrypted encrypted-password }', 'cbs_220'), ('no username USERNAME', 'cbs_220'), ('username name {[method hash-method] password {unencrypted-password | {encrypted encrypted-password} | {privilege privilege-level {[method hash-method] unencrypted-password | {encrypted encrypted-password}', 'cbs_250, cbs_350, cat_1300'), ('username name {[method hash-method] generate-password | {privilege privilege-level{[method hash-method] generate-password}', 'cbs_250, cbs_350, cat_1300'), ('no username name', 'cbs_250, cbs_350, cat_1300')]"
username (dot1x credentials),"[('username username', 'cbs_250, cbs_350, cat_1300'), ('no username', 'cbs_250, cbs_350, cat_1300')]"
validate source-mac,"[('validate source-mac [enable | disable]', 'cbs_350, cat_1300'), ('no validate source-mac', 'cbs_350, cat_1300')]"
vlan,"[('vlan vlan-range', 'cbs_220'), ('no vlan vlan-range', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('vlan {id vlan-id | name vlan-name}', 'cbs_250, cbs_350, cat_1300'), ('no vlan', 'cbs_250, cbs_350, cat_1300'), ('vlan vlan-range | {vlan-id [name vlan-name]} [media ethernet] [state active]', 'cbs_250, cbs_350, cat_1300')]"
vlan default-vlan,"[('vlan default-vlan vlan-id', 'cbs_220'), ('no vlan default-vlan', 'cbs_220')]"
voice vlan aging-timeout,"[('voice vlan aging-timeout minutes', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no voice vlan aging-timeout', 'cbs_250, cbs_350, cat_1300')]"
voice vlan cos,"[('voice vlan cos cos [remark]', 'cbs_220'), ('no voice vlan cos', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('voice vlan cos cos [remark ]', 'cbs_250, cbs_350, cat_1300')]"
voice vlan cos mode,"[('voice vlan cos mode {src | all}', 'cbs_220'), ('no voice vlan cos mode', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('voice vlan cos mode {src | all }', 'cbs_250, cbs_350, cat_1300')]"
voice vlan dscp,"[('voice vlan dscp dscp-value', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no voice vlan dscp', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
voice vlan enable,"[('voice vlan enable', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no voice vlan enable', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
voice vlan id,"[('voice vlan id VLAN-id', 'cbs_220'), ('no voice vlan id', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('voice vlan id vlan-id', 'cbs_250, cbs_350, cat_1300')]"
voice vlan mode,"[('voice vlan mode {auto | manual}', 'cbs_220'), ('no voice vlan mode', 'cbs_220')]"
voice vlan oui-table,"[('voice vlan oui-table {add mac-address-prefix | remove mac-address-prefix} [description]', 'cbs_220'), ('no voice vlan oui-table', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('voice vlan oui-table {add mac-address-prefix | remove mac-address-prefix} [text]', 'cbs_250, cbs_350, cat_1300')]"
